,Username,Channel Name,Country,Url,Main topic,Main video category,Likes,Likes Avg.,Posts,Followers,Boost Index,Comments Avg.,Views Avg.,Avg. 14 Day,Avg. 30 Day,Engagement Rate,Engagement Rate (60 Days)
153,natashawilona12,natashawilona12,US,https://www.instagram.com/natashawilona12,Fashion & Beauty,Fashion & Beauty,436264559.4,489665.375,1143,38846946,84,3433.455526,1621378.828,273239.0,218012.6667,0.009923993,0.008757881
155,mahi7781,mahi7781,ID,https://www.instagram.com/mahi7781,Gaming,Gaming,357039072.3,4054863.25,107,38747041,58,67652.64,16107512.2,0.0,0.0,0.089112672,0.001770823
156,chrissyteigen,chrissyteigen,US,https://www.instagram.com/chrissyteigen,Entertainment,Entertainment,2402129940.0,631385.875,5078,38516696,79,3798.853279,4103189.973,135266.381,130093.6744,0.012565285,0.005296937
159,j.m,j.m,US,https://www.instagram.com/j.m,Gaming,Gaming,286856974.4,14124890.5,22,38138950,83,0.523809524,1495132.541,9539024.0,11269273.0,0.345695884,0.298777149
160,anushkasen0408,anushkasen0408,US,https://www.instagram.com/anushkasen0408,Travel & Events,Travel & Events,2870711992.0,695413.1192,5203,37993409,85,5034.175569,571228.0,568987.1538,615201.8293,0.014705749,0.017519271
161,worldstar,worldstar,US,https://www.instagram.com/worldstar,Comedy,Comedy,11589242865.0,157546.1782,99022,37818287,78,2493.199621,1056851.689,72683.64865,71531.15126,0.003166408,0.001960937
162,prattprattpratt,prattprattpratt,US,https://www.instagram.com/prattprattpratt,Trailers,Trailers,496567005.0,813539.0,718,37405186,84,4914.890244,2052633.912,359794.0,445609.5,0.018849757,0.009978711
163,marvelstudios,marvelstudios,US,https://www.instagram.com/marvelstudios,Trailers,Trailers,1315744018.0,594215.25,2593,37389526,83,1983.720121,963850.0543,928507.2,832929.25,0.014386571,0.015756634
165,parineetichopra,parineetichopra,US,https://www.instagram.com/parineetichopra,Autos & Vehicles,Autos & Vehicles,506219083.9,505700.3333,1325,36973458,84,1639.372247,852263.72,235079.25,245650.1667,0.01046194,0.006776971
166,cznburak,cznburak,US,https://www.instagram.com/cznburak,Trailers,Trailers,1267267485.0,816501.0,1746,36935601,80,8524.293878,7053235.345,471769.3333,605418.2,0.023208658,0.018701114
167,laudyacynthiabella,laudyacynthiabella,ID,https://www.instagram.com/laudyacynthiabella,Movies,Movies,44800588.17,172773.75,379,36677982,76,544.6907449,436724.4706,19080.0,45644.66667,0.003289941,0.001218559
168,antogriezmann,antogriezmann,FR,https://www.instagram.com/antogriezmann,Sports,Sports,761349220.9,1132433.0,865,36381765,83,4322.974194,1699071.474,258233.8571,266970.2727,0.024641053,0.009418263
